iter	Passed	Remaining
568	6411	10490
569	6422	10478
570	6432	10465
571	6442	10452
572	6453	10441
573	6463	10427
574	6474	10415
575	6485	10404
576	6495	10390
577	6505	10377
578	6516	10366
579	6526	10352
580	6537	10340
581	6547	10327
582	6558	10316
583	6569	10303
584	6580	10292
585	6590	10280
586	6600	10266
587	6610	10253
588	6621	10242
589	6632	10229
590	6641	10214
591	6650	10201
592	6660	10187
593	6671	10175
594	6680	10161
595	6692	10150
596	6702	10137
597	6712	10124
598	6723	10113
599	6733	10100
600	6743	10087
601	6754	10074
602	6764	10063
603	6775	10050
604	6785	10037
605	6795	10025
606	6805	10012
607	6815	9998
608	6825	9985
609	6835	9973
610	6846	9961
611	6856	9949
612	6867	9936
613	6878	9925
614	6888	9912
615	6898	9899
616	6910	9890
617	6921	9877
618	6931	9864
619	6940	9851
620	6953	9841
621	6962	9827
622	6973	9816
623	6984	9804
624	6994	9791
625	7004	9778
626	7014	9766
627	7023	9752
628	7034	9740
629	7045	9729
630	7055	9716
631	7066	9704
632	7076	9692
633	7086	9680
634	7097	9667
635	7107	9655
636	7117	9642
637	7126	9629
638	7136	9616
639	7147	9604
640	7160	9595
641	7173	9587
642	7185	9577
643	7198	9568
644	7209	9556
645	7219	9544
646	7230	9532
647	7241	9520
648	7250	9507
649	7260	9494
650	7270	9481
651	7280	9469
652	7291	9457
653	7302	9445
654	7312	9434
655	7323	9422
656	7334	9411
657	7345	9398
658	7355	9386
659	7365	9373
660	7375	9361
661	7385	9349
662	7396	9337
663	7407	9326
664	7417	9313
665	7428	9302
666	7438	9289
667	7449	9278
668	7460	9267
669	7471	9255
670	7481	9242
671	7492	9231
672	7502	9218
673	7513	9207
674	7524	9196
675	7535	9185
676	7546	9173
677	7556	9161
678	7567	9150
679	7578	9139
680	7591	9130
681	7605	9121
682	7615	9109
683	7625	9097
684	7636	9085
685	7646	9073
686	7657	9062
687	7667	9049
688	7678	9038
689	7688	9025
690	7700	9015
691	7711	9004
692	7722	8992
693	7732	8980
694	7743	8969
695	7755	8958
696	7765	8946
697	7775	8934
698	7786	8922
699	7796	8909
700	7806	8897
701	7817	8886
702	7827	8873
703	7837	8862
704	7847	8848
705	7858	8837
706	7867	8824
707	7878	8813
708	7888	8801
709	7900	8790
710	7910	8778
711	7920	8765
712	7931	8754
713	7941	8742
714	7951	8730
715	7963	8719
716	7972	8706
717	7982	8694
718	7993	8682
719	8003	8670
720	8014	8658
721	8024	8647
722	8034	8635
723	8044	8622
724	8055	8610
725	8065	8598
726	8076	8587
727	8087	8576
728	8097	8563
729	8108	8552
730	8117	8539
731	8128	8528
732	8139	8517
733	8149	8505
734	8162	8496
735	8177	8488
736	8188	8477
737	8199	8466
738	8210	8454
739	8221	8443
740	8231	8431
741	8242	8420
742	8254	8409
743	8263	8397
744	8275	8386
745	8285	8373
746	8296	8362
747	8306	8350
748	8315	8337
749	8325	8325
750	8335	8313
751	8345	8301
752	8355	8288
753	8365	8276
754	8375	8264
755	8386	8253
756	8396	8241
757	8408	8230
758	8418	8218
759	8428	8206
760	8440	8196
761	8451	8185
762	8461	8173
763	8473	8162
764	8484	8151
765	8495	8140
766	8506	8129
767	8517	8118
768	8527	8105
769	8537	8094
770	8547	8082
771	8558	8070
772	8568	8059
773	8578	8046
774	8588	8034
775	8598	8022
776	8608	8010
777	8618	7998
778	8629	7986
779	8640	7975
780	8650	7964
781	8661	7952
782	8672	7941
783	8683	7930
784	8693	7918
785	8703	7906
786	8714	7894
787	8725	7883
788	8736	7872
789	8746	7860
790	8757	7849
791	8768	7838
792	8780	7827
793	8791	7816
794	8802	7805
795	8813	7794
796	8822	7782
797	8833	7770
798	8844	7759
799	8854	7747
800	8864	7735
801	8875	7724
802	8886	7713
803	8897	7702
804	8909	7691
805	8920	7680
806	8931	7669
807	8941	7658
808	8952	7646
809	8963	7635
810	8974	7624
811	8984	7612
812	8995	7601
813	9005	7589
814	9016	7578
815	9027	7567
816	9038	7556
817	9048	7544
818	9061	7534
819	9071	7522
820	9082	7511
821	9094	7501
822	9107	7492
823	9119	7481
824	9132	7472
825	9148	7464
826	9161	7455
827	9173	7444
828	9184	7433
829	9196	7423
830	9210	7414
831	9222	7404
832	9234	7393
833	9245	7382
834	9255	7371
835	9265	7359
836	9275	7347
837	9287	7336
838	9297	7324
839	9306	7312
840	9316	7300
841	9328	7289
842	9338	7278
843	9348	7266
844	9359	7255
845	9370	7243
846	9380	7232
847	9391	7220
848	9401	7209
849	9412	7198
850	9423	7186
851	9434	7175
852	9444	7163
853	9455	7152
854	9465	7140
855	9475	7129
856	9486	7117
857	9497	7106
858	9507	7094
859	9518	7083
860	9529	7072
861	9540	7061
862	9550	7049
863	9561	7038
864	9571	7026
865	9581	7014
866	9591	7003
867	9603	6992
868	9613	6980
869	9625	6969
870	9635	6958
871	9646	6947
872	9657	6936
873	9667	6924
874	9677	6912
875	9688	6901
876	9698	6889
877	9708	6877
878	9719	6866
879	9730	6855
880	9740	6843
881	9750	6831
882	9760	6820
883	9771	6809
884	9782	6798
885	9792	6786
886	9802	6774
887	9812	6762
888	9823	6751
889	9833	6739
890	9844	6728
891	9855	6717
892	9866	6706
893	9877	6695
894	9886	6683
895	9897	6672
896	9908	6660
897	9919	6649
898	9931	6639
899	9941	6627
900	9953	6617
901	9963	6605
902	9973	6594
903	9985	6583
904	10000	6574
905	10010	6563
906	10021	6551
907	10033	6541
908	10044	6530
909	10054	6518
910	10066	6508
911	10076	6496
912	10086	6484
913	10097	6473
914	10107	6462
915	10118	6451
916	10129	6440
917	10142	6430
918	10154	6419
919	10164	6408
920	10174	6396
921	10185	6385
922	10196	6373
923	10205	6362
924	10216	6350
925	10226	6338
926	10236	6327
927	10246	6316
928	10258	6305
929	10269	6294
930	10279	6282
931	10290	6271
932	10301	6260
933	10311	6248
934	10322	6237
935	10332	6226
936	10342	6214
937	10353	6202
938	10363	6191
939	10374	6180
940	10384	6168
941	10394	6157
942	10403	6145
943	10413	6133
944	10423	6121
945	10432	6109
946	10442	6097
947	10453	6086
948	10463	6075
949	10473	6063
950	10484	6052
951	10494	6041
952	10505	6029
953	10516	6018
954	10526	6007
955	10537	5996
956	10546	5984
957	10557	5973
958	10568	5961
959	10578	5950
960	10589	5939
961	10599	5927
962	10610	5916
963	10621	5905
964	10632	5894
965	10643	5883
966	10653	5872
967	10664	5861
968	10675	5849
969	10685	5838
970	10695	5827
971	10705	5815
972	10716	5804
973	10726	5792
974	10739	5783
975	10750	5771
976	10762	5761
977	10773	5750
978	10785	5739
979	10797	5729
980	10811	5719
981	10821	5708
982	10833	5697
983	10843	5686
984	10854	5675
985	10864	5663
986	10874	5652
987	10885	5641
988	10896	5629
989	10906	5618
990	10916	5607
991	10927	5595
992	10937	5584
993	10948	5573
994	10958	5561
995	10969	5550
996	10979	5539
997	10989	5527
998	11000	5516
999	11010	5505
1000	11020	5493
1001	11031	5482
1002	11041	5471
1003	11052	5459
1004	11062	5448
1005	11074	5438
1006	11085	5427
1007	11096	5415
1008	11107	5405
1009	11119	5394
1010	11132	5384
1011	11142	5373
1012	11154	5362
1013	11165	5351
1014	11176	5340
1015	11186	5328
1016	11196	5317
1017	11206	5306
1018	11217	5294
1019	11228	5283
1020	11238	5272
1021	11248	5261
1022	11259	5250
1023	11269	5238
1024	11279	5227
1025	11289	5215
1026	11299	5204
1027	11310	5193
1028	11321	5182
1029	11332	5171
1030	11343	5160
1031	11354	5148
1032	11364	5137
1033	11374	5126
1034	11385	5115
1035	11395	5103
1036	11406	5092
1037	11416	5081
1038	11427	5070
1039	11438	5059
1040	11449	5048
1041	11460	5037
1042	11471	5026
1043	11482	5015
1044	11492	5003
1045	11503	4992
1046	11514	4981
1047	11524	4970
1048	11533	4958
1049	11543	4947
1050	11554	4936
1051	11565	4925
1052	11575	4913
1053	11587	4903
1054	11596	4891
1055	11608	4880
1056	11618	4869
1057	11628	4858
1058	11639	4847
1059	11649	4835
1060	11660	4824
1061	11670	4813
1062	11681	4802
1063	11692	4791
1064	11702	4780
1065	11713	4769
1066	11724	4757
1067	11734	4746
1068	11745	4735
1069	11755	4724
1070	11766	4713
1071	11776	4701
1072	11787	4690
1073	11798	4679
1074	11809	4668
1075	11820	4657
1076	11831	4646
1077	11842	4635
1078	11853	4624
1079	11863	4613
1080	11874	4602
1081	11885	4591
1082	11895	4580
1083	11906	4569
1084	11916	4558
1085	11928	4547
1086	11938	4536
1087	11948	4524
1088	11957	4513
1089	11967	4501
1090	11978	4490
1091	11989	4479
1092	11999	4468
1093	12010	4457
1094	12020	4446
1095	12031	4434
1096	12041	4423
1097	12051	4412
1098	12061	4400
1099	12072	4390
1100	12084	4379
1101	12094	4367
1102	12106	4357
1103	12117	4346
1104	12129	4335
1105	12139	4324
1106	12150	4313
1107	12161	4302
1108	12170	4291
1109	12181	4280
1110	12192	4269
1111	12203	4258
1112	12213	4246
1113	12224	4235
1114	12235	4224
1115	12245	4213
1116	12257	4202
1117	12267	4191
1118	12277	4180
1119	12288	4169
1120	12299	4158
1121	12310	4147
1122	12321	4136
1123	12330	4124
1124	12343	4114
1125	12357	4104
1126	12367	4093
1127	12381	4083
1128	12393	4072
1129	12404	4061
1130	12414	4050
1131	12425	4039
1132	12435	4028
1133	12445	4016
1134	12462	4007
1135	12474	3996
1136	12483	3985
1137	12494	3974
1138	12504	3963
1139	12515	3952
1140	12525	3941
